page,title,price,url
1,Redmi A5 (4/128 GB),"Rs. 16,999",https://www.daraz.com.np/products/redmi-a5-4128-gb-688-display-unisoc-t7250-5200mah-battery-15w-charging-2-years-warranty-i347920959.html
1,Redmi 15 (8GB+256GB),"Rs. 27,999",https://www.daraz.com.np/products/redmi-15-8gb256gb-69-fhd-dot-display-snapdragon-685-6nm-processor-7000mah-typ-battery-33w-fast-charging-18w-reverse-charging-i479719751.html
1,Blackview N2000 FLIP 4G MOBILE PHONE | RED | BLUE | BLACK,"Rs. 5,999",https://www.daraz.com.np/products/blackview-n2000-flip-4g-mobile-phone-red-blue-black-i171335490.html
1,Motorola Moto G35 5G (4/128GB),"Rs. 19,999",https://www.daraz.com.np/products/motorola-moto-g35-5g-4128gb-672-fhd-display-unisoc-t760-processor-5000-mah-18w-charging-i434503251.html
1,HONOR X6c,"Rs. 19,999",https://www.daraz.com.np/products/honor-x6c-128256-gb-storage-ai-button-ai-eraser-drop-water-resistance-5300mah-35w-large-battery-i420879843.html
1,Redmi 15C (4GB+128GB),"Rs. 19,999",https://www.daraz.com.np/products/redmi-15c-4gb128gb-69-dot-drop-display-mediatek-helio-g81-ultra-processor-6000mah-typ-battery-33w-fast-charging-10w-reverse-charging-i480186221.html
1,"Vivo Y19s (12(6+6), 8(4+4) /128 GB) l 5150mah Battery l 50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF auxiliary camera & Front Camera 5 MP Camera (Punch hole cutout) l Android 14 with FuntouchOS 14","Rs. 18,499",https://www.daraz.com.np/products/vivo-y19s-1266-844-128-gb-l-5150mah-battery-l-50-mp-f18-wide-1195-08m-pdaf-auxiliary-camera-front-camera-5-mp-camera-punch-hole-cutout-l-android-14-with-funtouchos-14-i167763224.html
1,M-horse M16 Promax 8/128 5000 Mah battry,"Rs. 13,500",https://www.daraz.com.np/products/m-horse-m16-promax-8128-5000-mah-battry-i291521513.html
1,Redmi 15C (6GB+128GB),"Rs. 21,999",https://www.daraz.com.np/products/redmi-15c-6gb128gb-69-dot-drop-display-mediatek-helio-g81-ultra-processor-6000mah-typ-battery-33w-fast-charging-10w-reverse-charging-i480184210.html
1,IPRO S 501 Aplus-4G Android Smart Phone,"Rs. 3,999",https://www.daraz.com.np/products/ipro-s-501-aplus-4g-android-smart-phone-i127665045.html
1,Samsung Galaxy A07 LITE (4GB/64GB),"Rs. 18,999",https://www.daraz.com.np/products/samsung-galaxy-a07-lite-4gb64gb-67-superamoled-90hz-display-50mp2mp-rear-camera-5000mah-battery-i480593256.html
1,AI+ Nova 5G Android 15 Phone,"Rs. 18,499",https://www.daraz.com.np/products/ai-nova-5g-android-15-phone-6gb-ram-128gb-rom-120hz-fhd-screen-50mp-rear-camera-5g-dual-sim-smartphone-i496477417.html
1,realme C71 (4+128) | 6300 mAh battery | 45 W charging | 50 MP camera | 6.67 inch display,"Rs. 17,999",https://www.daraz.com.np/products/realme-c71-4128-6300-mah-battery-45-w-charging-50-mp-camera-667-inch-display-i458574380.html
1,"Samsung Galaxy A07 (6GB RAM + 128GB) | 6.7"" 90Hz Display | 5000mAh Battery","Rs. 26,499",https://www.daraz.com.np/products/samsung-galaxy-a07-6gb-ram-128gb-67-90hz-display-5000mah-battery-i479109640.html
1,CMF Phone 2 Pro (8/128GB),"Rs. 38,999",https://www.daraz.com.np/products/cmf-phone-2-pro-8128gb-677-flexible-amoled-display-mediatek-dimensity-7300-pro-5g-5000-mah-battery-33w-charging-i371680970.html
1,Samsung Galaxy A17 5G (6GB RAM + 128GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,"Rs. 33,999",https://www.daraz.com.np/products/samsung-galaxy-a17-5g-6gb-ram-128gb-90hz-super-amoled-50mp-camera-with-25w-power-adapter-i479073236.html
1,"Samsung Galaxy A07 (4GB RAM + 128GB) | 6.7"" 90Hz Display | 5000mAh Battery","Rs. 22,499",https://www.daraz.com.np/products/samsung-galaxy-a07-4gb-ram-128gb-67-90hz-display-5000mah-battery-i479130373.html
1,"Nothing Phone (3a) lite 6.77"" Flexible AMOLED Display","Rs. 38,999",https://www.daraz.com.np/products/nothing-phone-3a-lite-677-flexible-amoled-display-mediatek-dimensity-7300-pro-5g-processor-5000-mah-battery-i502456765.html
1,Apple iPhone 15,"Rs. 111,000",https://www.daraz.com.np/products/apple-iphone-15-61-super-retina-xdr-display-a16-bionic-chipset-48mp-main-camera-with-2x-telephoto-i164985113.html
2,Nokia 105 Keypad Mobile | Dual Sim,"Rs. 2,500",https://www.daraz.com.np/products/nokia-105-keypad-mobile-dual-sim-i150685030.html
2,Nokia 105 Keypad Mobile l Dual Sim,"Rs. 2,178",https://www.daraz.com.np/products/nokia-105-keypad-mobile-l-dual-sim-i290010351.html
2,M-Horse 17Pro Max+ 12/128 with free Earbuds,"Rs. 15,680",https://www.daraz.com.np/products/m-horse-17pro-max-12128-with-free-earbuds-i511148474.html
2,M-Horse S25 Ultra+ 8Ram 128 GB Rom,"Rs. 13,500",https://www.daraz.com.np/products/m-horse-ultra-8ram-128-gb-rom-i511047640.html
2,"BOOM C10, BONFLY KEYPAD","Rs. 1,499",https://www.daraz.com.np/products/boom-c10-bonfly-keypad-i390983472.html
2,Apple iPhone 16 | 6.1 inch Super Retina XDR OLED Display | A18 chip | Advanced Dual-Camera System,"Rs. 141,499",https://www.daraz.com.np/products/apple-iphone-16-61-inch-super-retina-xdr-oled-display-a18-chip-advanced-dual-camera-system-i164895794.html
2,inoi A72 4gb ram 64 gb rom 5000 mah big battery 13 MP rear 8 MP rear camra,"Rs. 10,000",https://www.daraz.com.np/products/inoi-a72-5000-mah-big-battery-4gb-ram-64-gb-rom-13-mp-rear-8-mp-front-camera-i308912110.html
2,MOTOROLA Moto G85 5G (12/256 GB),"Rs. 37,499",https://www.daraz.com.np/products/motorola-moto-g85-5g-12256-gb-667-p-oled-endless-edge-display-144hz-refresh-rate-qualcomm-sd-6s-gen-3-5000-mah-battery-turbopower-33w-charge-i184959972.html
2,Coolpad X100 Premium Smartphone,"Rs. 23,999",https://www.daraz.com.np/products/coolpad-x100-premium-smartphone-108-megapixel-ai-triple-camera-678-fhd-with-120hz-ultra-smooth-display-powered-by-mediatek-helio-g99-gaming-processor-5000mah-massive-battery-supports-33w-fast-charging-comes-with-type-c-charger-and-cable-i510744138.html
2,"Samsung Galaxy A17 5G (6GB/128GB) | 6.7"" sAMOLED 90Hz Display | 50MP Main Camera | 5000mAh Battery","Rs. 33,999",https://www.daraz.com.np/products/samsung-galaxy-a17-5g-6gb128gb-67-samoled-90hz-display-50mp-main-camera-5000mah-battery-i496096859.html
2,a10s 2+2=4 gb ram 32 gb rom,"Rs. 8,400",https://www.daraz.com.np/products/a10s-224-gb-ram-32-gb-rom-i131561210.html
2,Oale 17 Pro Max+ (4GB+4GB) RAM 128GB ROM,"Rs. 15,000",https://www.daraz.com.np/products/oale-17-pro-max-4gb4gb-ram-128gb-rom-i511081071.html
2,vivo Y05 | 6500 mAh Battery | Anti-Drop Design | IP65 Dust & Water Resistance | 120Hz Smooth Display,"Rs. 16,999",https://www.daraz.com.np/products/vivo-y05-6500-mah-battery-anti-drop-design-ip65-dust-water-resistance-120hz-smooth-display-i1514717809.html
2,Explorer 500 Mobile Phone | Big Screen | Big Torch | A Big mAh Battery | WFm Keypad Mobile Phone,"Rs. 2,599",https://www.daraz.com.np/products/explorer-500-mobile-phone-big-screen-big-torch-abig-mah-battery-wfm-keypad-mobile-phone-i162979559.html
2,Coolpad CP12 Neo Plus,"Rs. 11,589",https://www.daraz.com.np/products/coolpad-cp12-neo-plus-656-ips-lcd-display-with-120hz-refresh-rate-unisoc-octa-core-high-performing-processor-13mp-main-camera-with-5mp-front-camera-33gb-fast-ram-setup-5000mah-battery-with-10w-fast-charging-i1514096810.html
2,"KGTEL Solo 10 – 6.6” HD+ Display, 64GB ROM 4GB RAM (2GB + 3GB Extended), Dual SIM, 5000mAh, White","Rs. 9,499",https://www.daraz.com.np/products/kgtel-solo-10-66-hd-display-64gb-rom-4gb-ram-2gb-3gb-extended-dual-sim-5000mah-white-i418458863.html
2,OnePlus Nord 5 5G,"Rs. 79,999",https://www.daraz.com.np/products/oneplus-nord-5-5g-12gb-ram-512gb-storage-snapdragon-8s-gen-3-144hz-swift-amoled-display-dual-stereo-speakers-i421593556.html
2,Samsung Galaxy A17 5G (8GB RAM + 256GB) | 90Hz Super AMOLED | 50MP Camera With 25W Power Adapter,"Rs. 44,999",https://www.daraz.com.np/products/samsung-galaxy-a17-5g-8gb-ram-256gb-90hz-super-amoled-50mp-camera-with-25w-power-adapter-i479099773.html
2,HONOR X9d 5G,"Rs. 54,999",https://www.daraz.com.np/products/honor-x9d-5g-812gb-ram-256gb-storage-25m-drop-resistant-ip69k-water-resistant-8300mah-3-day-battery-108mp-ai-camera-i511085056.html
